id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""ACSS1"" href=""#"" onclick=""resClick(this.id)"">ACSS1</a>",acyl-CoA synthetase short chain family member 1,20,"","",24986865,25038818
"<a id=""ACSS2"" href=""#"" onclick=""resClick(this.id)"">ACSS2</a>",acyl-CoA synthetase short chain family member 2,20,"","",33462765,33515769
"<a id=""ACSS3"" href=""#"" onclick=""resClick(this.id)"">ACSS3</a>",acyl-CoA synthetase short chain family member 3,12,"","",81471857,81654989
"<a id=""ACTA1"" href=""#"" onclick=""resClick(this.id)"">ACTA1</a>","actin alpha 1, skeletal muscle",1,"","",229566992,229569843
"<a id=""ACTA2"" href=""#"" onclick=""resClick(this.id)"">ACTA2</a>","actin alpha 2, smooth muscle",10,"","",90694830,90751154
"<a id=""ACTA2-AS1"" href=""#"" onclick=""resClick(this.id)"">ACTA2-AS1</a>",ACTA2 antisense RNA 1,10,"","",90692440,90699731
"<a id=""ACTB"" href=""#"" onclick=""resClick(this.id)"">ACTB</a>",actin beta,7,"","",5566778,5570232
"<a id=""ACTBL2"" href=""#"" onclick=""resClick(this.id)"">ACTBL2</a>",actin beta like 2,5,"","",56775844,56778638
"<a id=""ACTC1"" href=""#"" onclick=""resClick(this.id)"">ACTC1</a>",actin alpha cardiac muscle 1,15,"","",35082430,35087750
"<a id=""ACTG1"" href=""#"" onclick=""resClick(this.id)"">ACTG1</a>",actin gamma 1,17,"","",79476996,79479825
"<a id=""ACTG2"" href=""#"" onclick=""resClick(this.id)"">ACTG2</a>","actin gamma 2, smooth muscle",2,"","",74120134,74146991
"<a id=""ACTL10"" href=""#"" onclick=""resClick(this.id)"">ACTL10</a>",actin like 10,20,"","",32254748,32256331
"<a id=""ACTL6A"" href=""#"" onclick=""resClick(this.id)"">ACTL6A</a>",actin like 6A,3,"","",179280667,179306193
"<a id=""ACTL6B"" href=""#"" onclick=""resClick(this.id)"">ACTL6B</a>",actin like 6B,7,"","",100240725,100254084
"<a id=""ACTL7A"" href=""#"" onclick=""resClick(this.id)"">ACTL7A</a>",actin like 7A,9,"","",111624545,111626036
"<a id=""ACTL7B"" href=""#"" onclick=""resClick(this.id)"">ACTL7B</a>",actin like 7B,9,"","",111616868,111618266
"<a id=""ACTL8"" href=""#"" onclick=""resClick(this.id)"">ACTL8</a>",actin like 8,1,"","",18081827,18153558
"<a id=""ACTL9"" href=""#"" onclick=""resClick(this.id)"">ACTL9</a>",actin like 9,19,"","",8807749,8809145
"<a id=""ACTN1"" href=""#"" onclick=""resClick(this.id)"">ACTN1</a>",actinin alpha 1,14,"","",69340839,69446083
"<a id=""ACTN2"" href=""#"" onclick=""resClick(this.id)"">ACTN2</a>",actinin alpha 2,1,"","",236849753,236927927
"<a id=""ACTN3"" href=""#"" onclick=""resClick(this.id)"">ACTN3</a>",actinin alpha 3 (gene/pseudogene),11,"","",66313865,66330800
"<a id=""ACTN4"" href=""#"" onclick=""resClick(this.id)"">ACTN4</a>",actinin alpha 4,19,"","",39138288,39222229
"<a id=""ACTR10"" href=""#"" onclick=""resClick(this.id)"">ACTR10</a>",actin related protein 10,14,"","",58666866,58702353
"<a id=""ACTR1A"" href=""#"" onclick=""resClick(this.id)"">ACTR1A</a>",actin related protein 1A,10,"","",104238985,104262469
"<a id=""ACTR1B"" href=""#"" onclick=""resClick(this.id)"">ACTR1B</a>",actin related protein 1B,2,"","",98272401,98280507
"<a id=""ACTR2"" href=""#"" onclick=""resClick(this.id)"">ACTR2</a>",actin related protein 2,2,"","",65454828,65498387
"<a id=""ACTR3"" href=""#"" onclick=""resClick(this.id)"">ACTR3</a>",actin related protein 3,2,"","",114647665,114720173
"<a id=""ACTR3B"" href=""#"" onclick=""resClick(this.id)"">ACTR3B</a>",actin related protein 3B,7,"","",152456833,152552464
"<a id=""ACTR5"" href=""#"" onclick=""resClick(this.id)"">ACTR5</a>",actin related protein 5,20,"","",37377102,37401162
"<a id=""ACTR6"" href=""#"" onclick=""resClick(this.id)"">ACTR6</a>",actin related protein 6,12,"","",100593864,100618202
"<a id=""ACTR8"" href=""#"" onclick=""resClick(this.id)"">ACTR8</a>",actin related protein 8,3,"","",53901093,53916179
"<a id=""ACTRT2"" href=""#"" onclick=""resClick(this.id)"">ACTRT2</a>",actin related protein T2,1,"","",2938030,2939467
"<a id=""ACTRT3"" href=""#"" onclick=""resClick(this.id)"">ACTRT3</a>",actin related protein T3,3,"","",169484710,169487349
"<a id=""ACVR1"" href=""#"" onclick=""resClick(this.id)"">ACVR1</a>",activin A receptor type 1,2,"","",158592958,158732374
"<a id=""ACVR1B"" href=""#"" onclick=""resClick(this.id)"">ACVR1B</a>",activin A receptor type 1B,12,"","",52345482,52390862
"<a id=""ACVR1C"" href=""#"" onclick=""resClick(this.id)"">ACVR1C</a>",activin A receptor type 1C,2,"","",158383278,158485376
"<a id=""ACVR2A"" href=""#"" onclick=""resClick(this.id)"">ACVR2A</a>",activin A receptor type 2A,2,"","",148602085,148688396
"<a id=""ACVR2B"" href=""#"" onclick=""resClick(this.id)"">ACVR2B</a>",activin A receptor type 2B,3,"","",38495380,38534633
"<a id=""ACVRL1"" href=""#"" onclick=""resClick(this.id)"">ACVRL1</a>",activin A receptor like type 1,12,"","",52301201,52317145
"<a id=""ACY1"" href=""#"" onclick=""resClick(this.id)"">ACY1</a>",aminoacylase 1,3,"","",52017550,52023213
"<a id=""ACY3"" href=""#"" onclick=""resClick(this.id)"">ACY3</a>",aminoacylase 3,11,"","",67410025,67418201
"<a id=""ACYP1"" href=""#"" onclick=""resClick(this.id)"">ACYP1</a>",acylphosphatase 1,14,"","",75519945,75536193
"<a id=""ACYP2"" href=""#"" onclick=""resClick(this.id)"">ACYP2</a>",acylphosphatase 2,2,"","",54198249,54532435
"<a id=""ADA"" href=""#"" onclick=""resClick(this.id)"">ADA</a>",adenosine deaminase,20,"","",43248159,43280399
"<a id=""ADA2"" href=""#"" onclick=""resClick(this.id)"">ADA2</a>",adenosine deaminase 2,22,"","",17659679,17702738
"<a id=""ADAD1"" href=""#"" onclick=""resClick(this.id)"">ADAD1</a>",adenosine deaminase domain containing 1,4,"","",123300165,123350939
"<a id=""ADAD2"" href=""#"" onclick=""resClick(this.id)"">ADAD2</a>",adenosine deaminase domain containing 2,16,"","",84224762,84230772
"<a id=""ADAL"" href=""#"" onclick=""resClick(this.id)"">ADAL</a>",adenosine deaminase like,15,"","",43622869,43646767
"<a id=""ADAM10"" href=""#"" onclick=""resClick(this.id)"">ADAM10</a>",ADAM metallopeptidase domain 10,15,"","",58881007,59041906
"<a id=""ADAM11"" href=""#"" onclick=""resClick(this.id)"">ADAM11</a>",ADAM metallopeptidase domain 11,17,"","",42836355,42859214
"<a id=""ADAM12"" href=""#"" onclick=""resClick(this.id)"">ADAM12</a>",ADAM metallopeptidase domain 12,10,"","",127700960,128077046
"<a id=""ADAM15"" href=""#"" onclick=""resClick(this.id)"">ADAM15</a>",ADAM metallopeptidase domain 15,1,"","",155023747,155035252
"<a id=""ADAM17"" href=""#"" onclick=""resClick(this.id)"">ADAM17</a>",ADAM metallopeptidase domain 17,2,"","",9628614,9695959
"<a id=""ADAM18"" href=""#"" onclick=""resClick(this.id)"">ADAM18</a>",ADAM metallopeptidase domain 18,8,"","",39442086,39587584
"<a id=""ADAM19"" href=""#"" onclick=""resClick(this.id)"">ADAM19</a>",ADAM metallopeptidase domain 19,5,"","",156904311,157002783
"<a id=""ADAM2"" href=""#"" onclick=""resClick(this.id)"">ADAM2</a>",ADAM metallopeptidase domain 2,8,"","",39601254,39695746
"<a id=""ADAM20"" href=""#"" onclick=""resClick(this.id)"">ADAM20</a>",ADAM metallopeptidase domain 20,14,"","",70989074,71001721
"<a id=""ADAM21"" href=""#"" onclick=""resClick(this.id)"">ADAM21</a>",ADAM metallopeptidase domain 21,14,"","",70918890,70926622
"<a id=""ADAM22"" href=""#"" onclick=""resClick(this.id)"">ADAM22</a>",ADAM metallopeptidase domain 22,7,"","",87563565,87832204
"<a id=""ADAM23"" href=""#"" onclick=""resClick(this.id)"">ADAM23</a>",ADAM metallopeptidase domain 23,2,"","",207308255,207485851
"<a id=""ADAM28"" href=""#"" onclick=""resClick(this.id)"">ADAM28</a>",ADAM metallopeptidase domain 28,8,"","",24151552,24216531
"<a id=""ADAM29"" href=""#"" onclick=""resClick(this.id)"">ADAM29</a>",ADAM metallopeptidase domain 29,4,"","",175839508,175899331
"<a id=""ADAM30"" href=""#"" onclick=""resClick(this.id)"">ADAM30</a>",ADAM metallopeptidase domain 30,1,"","",120436155,120439138
"<a id=""ADAM32"" href=""#"" onclick=""resClick(this.id)"">ADAM32</a>",ADAM metallopeptidase domain 32,8,"","",38965047,39142436
"<a id=""ADAM33"" href=""#"" onclick=""resClick(this.id)"">ADAM33</a>",ADAM metallopeptidase domain 33,20,"","",3648611,3663337
"<a id=""ADAM6"" href=""#"" onclick=""resClick(this.id)"">ADAM6</a>",ADAM metallopeptidase domain 6 (pseudogene),14,"","",106435817,106438358
"<a id=""ADAM7"" href=""#"" onclick=""resClick(this.id)"">ADAM7</a>",ADAM metallopeptidase domain 7,8,"","",24298538,24367077
"<a id=""ADAM8"" href=""#"" onclick=""resClick(this.id)"">ADAM8</a>",ADAM metallopeptidase domain 8,10,"","",135075926,135090372
"<a id=""ADAM9"" href=""#"" onclick=""resClick(this.id)"">ADAM9</a>",ADAM metallopeptidase domain 9,8,"","",38854491,38962779
"<a id=""ADAMDEC1"" href=""#"" onclick=""resClick(this.id)"">ADAMDEC1</a>",ADAM like decysin 1,8,"","",24241797,24263526
"<a id=""ADAMTS1"" href=""#"" onclick=""resClick(this.id)"">ADAMTS1</a>",ADAM metallopeptidase with thrombospondin type 1 motif 1,21,"","",28208073,28217728
"<a id=""ADAMTS10"" href=""#"" onclick=""resClick(this.id)"">ADAMTS10</a>",ADAM metallopeptidase with thrombospondin type 1 motif 10,19,"","",8645123,8675600
"<a id=""ADAMTS12"" href=""#"" onclick=""resClick(this.id)"">ADAMTS12</a>",ADAM metallopeptidase with thrombospondin type 1 motif 12,5,"","",33523639,33892095
"<a id=""ADAMTS13"" href=""#"" onclick=""resClick(this.id)"">ADAMTS13</a>",ADAM metallopeptidase with thrombospondin type 1 motif 13,9,"","",136279458,136324525
"<a id=""ADAMTS14"" href=""#"" onclick=""resClick(this.id)"">ADAMTS14</a>",ADAM metallopeptidase with thrombospondin type 1 motif 14,10,"","",72432261,72522195
"<a id=""ADAMTS15"" href=""#"" onclick=""resClick(this.id)"">ADAMTS15</a>",ADAM metallopeptidase with thrombospondin type 1 motif 15,11,"","",130318868,130346540
"<a id=""ADAMTS16"" href=""#"" onclick=""resClick(this.id)"">ADAMTS16</a>",ADAM metallopeptidase with thrombospondin type 1 motif 16,5,"","",5140442,5320417
"<a id=""ADAMTS17"" href=""#"" onclick=""resClick(this.id)"">ADAMTS17</a>",ADAM metallopeptidase with thrombospondin type 1 motif 17,15,"","",100511641,100882180
"<a id=""ADAMTS18"" href=""#"" onclick=""resClick(this.id)"">ADAMTS18</a>",ADAM metallopeptidase with thrombospondin type 1 motif 18,16,"","",77316024,77468931
"<a id=""ADAMTS19"" href=""#"" onclick=""resClick(this.id)"">ADAMTS19</a>",ADAM metallopeptidase with thrombospondin type 1 motif 19,5,"","",128795990,129074368
"<a id=""ADAMTS19-AS1"" href=""#"" onclick=""resClick(this.id)"">ADAMTS19-AS1</a>",ADAMTS19 antisense RNA 1,5,"","",128795251,128796382
"<a id=""ADAMTS2"" href=""#"" onclick=""resClick(this.id)"">ADAMTS2</a>",ADAM metallopeptidase with thrombospondin type 1 motif 2,5,"","",178537853,178772462
"<a id=""ADAMTS20"" href=""#"" onclick=""resClick(this.id)"">ADAMTS20</a>",ADAM metallopeptidase with thrombospondin type 1 motif 20,12,"","",43747668,43946006
"<a id=""ADAMTS3"" href=""#"" onclick=""resClick(this.id)"">ADAMTS3</a>",ADAM metallopeptidase with thrombospondin type 1 motif 3,4,"","",73146685,73434938
"<a id=""ADAMTS4"" href=""#"" onclick=""resClick(this.id)"">ADAMTS4</a>",ADAM metallopeptidase with thrombospondin type 1 motif 4,1,"","",161154091,161168844
"<a id=""ADAMTS5"" href=""#"" onclick=""resClick(this.id)"">ADAMTS5</a>",ADAM metallopeptidase with thrombospondin type 1 motif 5,21,"","",28290240,28339407
"<a id=""ADAMTS6"" href=""#"" onclick=""resClick(this.id)"">ADAMTS6</a>",ADAM metallopeptidase with thrombospondin type 1 motif 6,5,"","",64444562,64777747
"<a id=""ADAMTS7"" href=""#"" onclick=""resClick(this.id)"">ADAMTS7</a>",ADAM metallopeptidase with thrombospondin type 1 motif 7,15,"","",79051548,79103806
"<a id=""ADAMTS8"" href=""#"" onclick=""resClick(this.id)"">ADAMTS8</a>",ADAM metallopeptidase with thrombospondin type 1 motif 8,11,"","",130274817,130298504
"<a id=""ADAMTS9"" href=""#"" onclick=""resClick(this.id)"">ADAMTS9</a>",ADAM metallopeptidase with thrombospondin type 1 motif 9,3,"","",64501330,64673676
"<a id=""ADAMTSL1"" href=""#"" onclick=""resClick(this.id)"">ADAMTSL1</a>",ADAMTS like 1,9,"","",18474150,18910947
"<a id=""ADAMTSL2"" href=""#"" onclick=""resClick(this.id)"">ADAMTSL2</a>",ADAMTS like 2,9,"","",136397285,136440641
"<a id=""ADAMTSL3"" href=""#"" onclick=""resClick(this.id)"">ADAMTSL3</a>",ADAMTS like 3,15,"","",84322874,84708593
"<a id=""ADAMTSL4"" href=""#"" onclick=""resClick(this.id)"">ADAMTSL4</a>",ADAMTS like 4,1,"","",150521844,150533412
"<a id=""ADAMTSL5"" href=""#"" onclick=""resClick(this.id)"">ADAMTSL5</a>",ADAMTS like 5,19,"","",1505020,1513018
"<a id=""ADAP1"" href=""#"" onclick=""resClick(this.id)"">ADAP1</a>",ArfGAP with dual PH domains 1,7,"","",937536,995043
"<a id=""ADAP2"" href=""#"" onclick=""resClick(this.id)"">ADAP2</a>",ArfGAP with dual PH domains 2,17,"","",29248753,29286211
"<a id=""ADAR"" href=""#"" onclick=""resClick(this.id)"">ADAR</a>",adenosine deaminase RNA specific,1,"","",154554533,154600473
"<a id=""ADARB1"" href=""#"" onclick=""resClick(this.id)"">ADARB1</a>",adenosine deaminase RNA specific B1,21,"","",46494492,46646478
"<a id=""ADARB2"" href=""#"" onclick=""resClick(this.id)"">ADARB2</a>",adenosine deaminase RNA specific B2 (inactive),10,"","",1223252,1779719
"<a id=""ADARB2-AS1"" href=""#"" onclick=""resClick(this.id)"">ADARB2-AS1</a>",ADARB2 antisense RNA 1,10,"","",1568824,1599203
"<a id=""ADAT1"" href=""#"" onclick=""resClick(this.id)"">ADAT1</a>",adenosine deaminase tRNA specific 1,16,"","",75630765,75657179
"<a id=""ADAT2"" href=""#"" onclick=""resClick(this.id)"">ADAT2</a>",adenosine deaminase tRNA specific 2,6,"","",143743968,143771832
"<a id=""ADAT3"" href=""#"" onclick=""resClick(this.id)"">ADAT3</a>",adenosine deaminase tRNA specific 3,19,"","",1905397,1913446
"<a id=""ADCK1"" href=""#"" onclick=""resClick(this.id)"">ADCK1</a>",aarF domain containing kinase 1,14,"","",78266451,78401357
"<a id=""ADCK2"" href=""#"" onclick=""resClick(this.id)"">ADCK2</a>",aarF domain containing kinase 2,7,"","",140372744,140394910
"<a id=""ADCK5"" href=""#"" onclick=""resClick(this.id)"">ADCK5</a>",aarF domain containing kinase 5,8,"","",145597735,145618453
"<a id=""ADCY1"" href=""#"" onclick=""resClick(this.id)"">ADCY1</a>",adenylate cyclase 1,7,"","",45613966,45762714
"<a id=""ADCY10"" href=""#"" onclick=""resClick(this.id)"">ADCY10</a>",adenylate cyclase 10,1,"","",167778622,167883372
"<a id=""ADCY2"" href=""#"" onclick=""resClick(this.id)"">ADCY2</a>",adenylate cyclase 2,5,"","",7396250,7830194
"<a id=""ADCY3"" href=""#"" onclick=""resClick(this.id)"">ADCY3</a>",adenylate cyclase 3,2,"","",25042038,25143106
"<a id=""ADCY4"" href=""#"" onclick=""resClick(this.id)"">ADCY4</a>",adenylate cyclase 4,14,"","",24787564,24804277
"<a id=""ADCY5"" href=""#"" onclick=""resClick(this.id)"">ADCY5</a>",adenylate cyclase 5,3,"","",123001142,123167392
"<a id=""ADCY6"" href=""#"" onclick=""resClick(this.id)"">ADCY6</a>",adenylate cyclase 6,12,"","",49159978,49182872
"<a id=""ADCY7"" href=""#"" onclick=""resClick(this.id)"">ADCY7</a>",adenylate cyclase 7,16,"","",50300461,50344440
"<a id=""ADCY8"" href=""#"" onclick=""resClick(this.id)"">ADCY8</a>",adenylate cyclase 8,8,"","",131792546,132053155
"<a id=""ADCY9"" href=""#"" onclick=""resClick(this.id)"">ADCY9</a>",adenylate cyclase 9,16,"","",4012654,4166443
"<a id=""ADCYAP1"" href=""#"" onclick=""resClick(this.id)"">ADCYAP1</a>",adenylate cyclase activating polypeptide 1,18,"","",904871,912173
"<a id=""ADCYAP1R1"" href=""#"" onclick=""resClick(this.id)"">ADCYAP1R1</a>",ADCYAP receptor type I,7,"","",31091922,31151088
"<a id=""ADD1"" href=""#"" onclick=""resClick(this.id)"">ADD1</a>",adducin 1,4,"","",2845570,2931789
"<a id=""ADD2"" href=""#"" onclick=""resClick(this.id)"">ADD2</a>",adducin 2,2,"","",70883915,70995332
"<a id=""ADD3"" href=""#"" onclick=""resClick(this.id)"">ADD3</a>",adducin 3,10,"","",111756130,111895323
"<a id=""ADGRA1"" href=""#"" onclick=""resClick(this.id)"">ADGRA1</a>",adhesion G protein-coupled receptor A1,10,"","",134901507,134945179
"<a id=""ADGRA1-AS1"" href=""#"" onclick=""resClick(this.id)"">ADGRA1-AS1</a>",adhesion G protein-coupled receptor A1 antisense RNA 1,10,"","",134898752,134900201
"<a id=""ADGRA2"" href=""#"" onclick=""resClick(this.id)"">ADGRA2</a>",adhesion G protein-coupled receptor A2,8,"","",37654400,37702414
"<a id=""ADGRA3"" href=""#"" onclick=""resClick(this.id)"">ADGRA3</a>",adhesion G protein-coupled receptor A3,4,"","",22388998,22517689
"<a id=""ADGRB1"" href=""#"" onclick=""resClick(this.id)"">ADGRB1</a>",adhesion G protein-coupled receptor B1,8,"","",143531009,143626368
"<a id=""ADGRB2"" href=""#"" onclick=""resClick(this.id)"">ADGRB2</a>",adhesion G protein-coupled receptor B2,1,"","",32192717,32229941
"<a id=""ADGRB3"" href=""#"" onclick=""resClick(this.id)"">ADGRB3</a>",adhesion G protein-coupled receptor B3,6,"","",69345173,70099398
"<a id=""ADGRD1"" href=""#"" onclick=""resClick(this.id)"">ADGRD1</a>",adhesion G protein-coupled receptor D1,12,"","",131438451,131626013
"<a id=""ADGRE1"" href=""#"" onclick=""resClick(this.id)"">ADGRE1</a>",adhesion G protein-coupled receptor E1,19,"","",6887589,6940461
"<a id=""ADGRE2"" href=""#"" onclick=""resClick(this.id)"">ADGRE2</a>",adhesion G protein-coupled receptor E2,19,"","",14843203,14889372
"<a id=""ADGRE3"" href=""#"" onclick=""resClick(this.id)"">ADGRE3</a>",adhesion G protein-coupled receptor E3,19,"","",14729928,14785730
"<a id=""ADGRE4P"" href=""#"" onclick=""resClick(this.id)"">ADGRE4P</a>","adhesion G protein-coupled receptor E4, pseudogene",19,"","",6952510,6990857
"<a id=""ADGRE5"" href=""#"" onclick=""resClick(this.id)"">ADGRE5</a>",adhesion G protein-coupled receptor E5,19,"","",14491955,14519537
"<a id=""ADGRF1"" href=""#"" onclick=""resClick(this.id)"">ADGRF1</a>",adhesion G protein-coupled receptor F1,6,"","",46965444,47010068
"<a id=""ADGRF2"" href=""#"" onclick=""resClick(this.id)"">ADGRF2</a>",adhesion G protein-coupled receptor F2,6,"","",47624207,47665530
"<a id=""ADGRF3"" href=""#"" onclick=""resClick(this.id)"">ADGRF3</a>",adhesion G protein-coupled receptor F3,2,"","",26531040,26569685
"<a id=""ADGRF4"" href=""#"" onclick=""resClick(this.id)"">ADGRF4</a>",adhesion G protein-coupled receptor F4,6,"","",47666280,47689757
"<a id=""ADGRF5"" href=""#"" onclick=""resClick(this.id)"">ADGRF5</a>",adhesion G protein-coupled receptor F5,6,"","",46820260,46922676
"<a id=""ADGRG1"" href=""#"" onclick=""resClick(this.id)"">ADGRG1</a>",adhesion G protein-coupled receptor G1,16,"","",57653649,57699479
"<a id=""ADGRG3"" href=""#"" onclick=""resClick(this.id)"">ADGRG3</a>",adhesion G protein-coupled receptor G3,16,"","",57702217,57723290
"<a id=""ADGRG5"" href=""#"" onclick=""resClick(this.id)"">ADGRG5</a>",adhesion G protein-coupled receptor G5,16,"","",57576554,57611100
"<a id=""ADGRG6"" href=""#"" onclick=""resClick(this.id)"">ADGRG6</a>",adhesion G protein-coupled receptor G6,6,"","",142623055,142767403
"<a id=""ADGRG7"" href=""#"" onclick=""resClick(this.id)"">ADGRG7</a>",adhesion G protein-coupled receptor G7,3,"","",100328444,100414323
"<a id=""ADGRL1"" href=""#"" onclick=""resClick(this.id)"">ADGRL1</a>",adhesion G protein-coupled receptor L1,19,"","",14258554,14316981
"<a id=""ADGRL2"" href=""#"" onclick=""resClick(this.id)"">ADGRL2</a>",adhesion G protein-coupled receptor L2,1,"","",81771876,82459616
"<a id=""ADGRL3"" href=""#"" onclick=""resClick(this.id)"">ADGRL3</a>",adhesion G protein-coupled receptor L3,4,"","",62066947,62944053
"<a id=""ADGRL4"" href=""#"" onclick=""resClick(this.id)"">ADGRL4</a>",adhesion G protein-coupled receptor L4,1,"","",79355448,79472415
